word,window,sentence,dependency
,matthew, programming, ('hunting'; 'compmod'; 'TO-ME')
,64, channel, ('televise'; 'adpobj'; 'TO-ME'; 'adpmod'; 'on')
,kid, 20th, ('ohio'; 'compmod'; 'TO-ME')
,gray, network, ('cat'; 'conj'; 'FROM-ME')
,broadcasting, kid, ('net'; 'compmod'; 'TO-ME')
,programming, soccer, ('twentieth'; 'compmod'; 'FROM-ME')
,abc, switch, ('kit'; 'compmod'; 'FROM-ME')
,network, entertainment, ('televise'; 'adpobj'; 'TO-ME')
,kit, morning, ('affiliation'; 'compmod'; 'TO-ME')
,nbc, broadcast, ('gray'; 'amod'; 'FROM-ME')
,soccer, television, ('news'; 'compmod'; 'TO-ME')
,century, tv, ('affiliate'; 'compmod'; 'TO-ME')
table,,,
,picnic, picnic, ('list'; 'adpobj'; 'FROM-ME'; 'adpmod'; 'below')
,periodic, tennis, ('carpianum'; 'conj'; 'TO-ME')
,tennis, gospel, ('periodic'; 'compmod'; 'FROM-ME')
,badminton, row, ('following'; 'compmod'; 'FROM-ME')
,rotary, column, ('tennis'; 'compmod'; 'TO-ME')
,html, database, ('picnic'; 'amod'; 'FROM-ME')
,following, following, ('picnic'; 'compmod'; 'FROM-ME')
,coffee, content, ('content'; 'adpobj'; 'FROM-ME'; 'adpmod'; 'of')
,canon, template, ('salt'; 'compmod'; 'TO-ME')
,summarize, medal, ('medal'; 'compmod'; 'FROM-ME')
,breakfast, format, ('column'; 'adpobj'; 'TO-ME'; 'adpmod'; 'of')
,altar, finish, ('periodic'; 'amod'; 'FROM-ME')
,operating, element, ('truth'; 'compmod'; 'FROM-ME')
,salt, list, ('content'; 'adpobj'; 'FROM-ME')
,database, contain, ('sit'; 'adpobj'; 'TO-ME'; 'adpmod'; 'at')
,dinner, entry, ('canon'; 'compmod'; 'FROM-ME')
,mathematical, key, ('row'; 'adpobj'; 'TO-ME'; 'adpmod'; 'of')
,pool, code, ('row'; 'adpobj'; 'TO-ME')
,medal, water, ('knight'; 'adpobj'; 'TO-ME'; 'adpmod'; 'of')
,setting, text, ('column'; 'adpobj'; 'TO-ME')
bowl,,,
,super, right-handed, ('batsman'; 'rcmod'; 'TO-ME')
,batsman, super, ('xliv'; 'compmod'; 'TO-ME')
,quiz, quiz, ('xlii'; 'compmod'; 'TO-ME')
,pro, steelers, ('xxxiv'; 'compmod'; 'TO-ME')
,rose, batsman, ('xliii'; 'compmod'; 'TO-ME')
,alley, bowler, ('xxxvi'; 'compmod'; 'TO-ME')
,sugar, rose, ('alley'; 'amod'; 'TO-ME')
,lawn, wicket, ('xl'; 'compmod'; 'TO-ME')
,bermuda, pro, ('select'; 'adpobj'; 'TO-ME'; 'adpmod'; 'to')
,subdivision, sugar, ('pace'; 'dobj'; 'FROM-ME')
,cotton, pace, ('rose'; 'compmod'; 'FROM-ME')
,orange, nfl, ('bermuda'; 'compmod'; 'FROM-ME')
,mvp, orange, ('quiz'; 'compmod'; 'FROM-ME')
,dust, cotton, ('pro'; 'compmod'; 'FROM-ME')
,compass, inning, ('sugar'; 'compmod'; 'FROM-ME')
,barrow, touchdown, ('subdivision'; 'compmod'; 'TO-ME')
,bowler, consecutive, ('invitation'; 'adpobj'; 'TO-ME'; 'adpmod'; 'to')
,xiii, ball, ('super'; 'compmod'; 'FROM-ME')
,all-american, yard, ('ball'; 'rcmod'; 'TO-ME')
,toilet, stadium, ('orange'; 'compmod'; 'FROM-ME')
guitar,,,
,acoustic, bass, ('vocal'; 'appos'; 'TO-ME')
,bass, percussion, ('vocal'; 'appos'; 'FROM-ME')
,rhythm, acoustic, ('banjo'; 'conj'; 'TO-ME')
,electric, vocal, ('amplifier'; 'conj'; 'FROM-ME')
,amplifier, keyboard, ('riff'; 'compmod'; 'TO-ME')
,vintage, drum, ('vocal'; 'conj'; 'FROM-ME')
,pedal, amplifier, ('vocal'; 'conj'; 'TO-ME')
,gibson, saxophone, ('keyboard'; 'conj'; 'FROM-ME')
,solo, line-up, ('bass'; 'conj'; 'FROM-ME')
,tenor, rhythm, ('bass'; 'appos'; 'FROM-ME')
,playing, backing, ('bass'; 'compmod'; 'FROM-ME')
,distortion, electric, ('percussion'; 'conj'; 'FROM-ME')
,intro, gibson, ('rhythm'; 'compmod'; 'FROM-ME')
,vocal, piano, ('solo'; 'compmod'; 'TO-ME')
,chord, violin, ('acoustic'; 'amod'; 'FROM-ME')
,hero, guitarist, ('drum'; 'conj'; 'FROM-ME')
,rag, string, ('intro'; 'compmod'; 'TO-ME')
,flute, solo, ('consist'; 'adpobj'; 'TO-ME'; 'adpmod'; 'on')
,concerto, instrument, ('saxophone'; 'conj'; 'FROM-ME')
,signature, melody, ('trumpet'; 'conj'; 'FROM-ME')
piano,,,
,concerto, cello, ('accordion'; 'compmod'; 'TO-ME')
,viola, sonata, ('accompaniment'; 'compmod'; 'TO-ME')
,cello, op, ('viola'; 'conj'; 'TO-ME')
,sonata, viola, ('concertino'; 'adpobj'; 'TO-ME'; 'adpmod'; 'for')
,violin, concerto, ('concertino'; 'adpobj'; 'TO-ME')
,recital, violin, ('trio'; 'adpobj'; 'TO-ME'; 'adpmod'; 'for')
,clarinet, clarinet, ('harpsichord'; 'conj'; 'TO-ME')
,lesson, opus, ('cello'; 'conj'; 'TO-ME')
,solo, saxophone, ('concerto'; 'compmod'; 'TO-ME')
,opus, trumpet, ('violin'; 'conj'; 'TO-ME')
,trio, pianist, ('virtuoso'; 'compmod'; 'TO-ME')
,prepared, flute, ('op'; 'conj'; 'FROM-ME')
,beethoven, lesson, ('sonata'; 'compmod'; 'TO-ME')
,trumpet, trio, ('recital'; 'compmod'; 'TO-ME')
,quartet, keyboard, ('harp'; 'conj'; 'TO-ME')
,acoustic, guitar, ('sonata'; 'adpobj'; 'TO-ME'; 'adpmod'; 'for')
,atop, solo, ('concerto'; 'adpobj'; 'TO-ME'; 'adpmod'; 'for')
,saxophone, orchestra, ('clarinet'; 'conj'; 'TO-ME')
,duet, organ, ('violin'; 'conj'; 'FROM-ME')
,suite, drum, ('quintet'; 'compmod'; 'TO-ME')
